type_id,sub_object,sub_object_code,object,object_code,character,character_code
634,GF-HR-Client Svc-Recrut-Assess,581470,Svcs Of Other Depts -AAO Funds,581,Services Of Other Depts,581
635,Exp Rec Fr Children and Families(Nonaao),875CI,Recovery for Svcs to Non-AAO Fds,875,Expenditure Recovery,865
636,ITO To 4DCop-CertOfPrtcptn Bnd,595200,Intrafund Transfers Out (Ito),595,Intrafund Transfers Out,595
637,Itinerant Aircraft Landing Fee,467121,SFO-Flight Operations,467,Charges For Services,460
638,OCII Payments To CON-Audit Svc,536810,OCII Payments To City Dept,536,Non Personnel Services,521
639,Street Damage Restoration Fee,460636,Public Safety Service Charges,460,Charges For Services,460
640,Exp Rec Fr Adm (AAO),486150,ISF Charges for Services to AAO Funds,860,ISF Charges for Services,860
641,PrivateInsurnceI-PGrosChgs,465205,Inpatient Revenues,465,Charges For Services,460
642,Childrens Services (Fed-Admin),440139,Federal - Pub Assistance Admin,FED_PUB_ASS_ADMIN,Intergovernmental: Federal,INTER_REV_FED
643,Exp Rec Fr Rec & Park (Non-AAO),875RP,Recovery for Svcs to Non-AAO Fds,875,Expenditure Recovery,865
644,Concession-Others,437499,SFO - Advertising: Tele & Othe,SFO_ADV_TEL_OTH,Rents & Concessions,RENTS_CONCESSIONS
645,Paes Transportation Services,536320,Aid Assistance,536,Aid Assistance,536
646,Fringe-Short-Long TermDisbPlan,473205,Health Serv Fund-Emply Contrib,469,Charges For Services,460
647,Contractor'S Per Tow Fee,460687,Public Safety Service Charges,460,Charges For Services,460
648,Judgements - Interest Payments,553220,Judgments & Claims,553,Non Personnel Services,521
649,"Medical, Dental & Lab Equipmnt",560710,Equipment Purchase,560,Capital Outlay,560
650,Managed Care C-A-Other-I-PAdj,465835,Contl Rev Deduct,REVDEDUCT,Charges for Services,CHGS_FOR_SERVICES
651,Sale Of Water-Muni Paying,468121,Water Sales,WATER_SALES,Charges for Services,CHGS_FOR_SERVICES
652,CTO To 5M-MTA Transit Funds,591030,Contribution Transfers Out,CONT_TFR_OUT,Transfers Out,OPER_TFR_OUT
653,Cws Title Xx Cfda 93.667,440168,Federal-Publc Assistance Admin,440,Intergovernmental Rev-Federal,440
654,OP Adj Worker'sComp FC5,465845,Outpatient Contl Rev Deduct,OUTPATIENT_REVDEDUCT,Charges for Services,CHGS_FOR_SERVICES
655,"Ret City Share, Police (New)",470116,Retirement - Contributions,470,Contribtns (Ret;Hss;Hlth Care),470
656,OP Adj Healthy SF FC113,465873,Outpatient Contl Rev Deduct,OUTPATIENT_REVDEDUCT,Charges for Services,CHGS_FOR_SERVICES
657,Medical Family Planning,465318,Outpatient Revenues,465,Charges For Services,460
658,OTI Fr 5A-Airport Fund,493027,Other Operating Transfers In,493,Operating Transfers In,491
659,Exp Rec Fr Bus & Enc Dev (AAO),865BE,Recovery for Svcs to AAO Funds,865,Expenditure Recovery,865
660,MTA Division OH Cost Recovery,579030,Other Expenses-Non Expend Type,579,Overhead and Allocations,520
661,APS-HR Services,03663,Aid Assistance,536,Aid Assistance,536
662,Gross Receipt Tax PropositionE,411220,Gross Receipts Tax,411,Business Taxes,411
663,GF-HR-Equal Emplymnt Opportuni,581430,Svcs Of Other Depts -AAO Funds,581,Services Of Other Depts,581
664,Union Square Garage,435219,Parking Garage/Lot Rentals,PARK_GAR_LOT_RENT,Rents & Concessions,RENTS_CONCESSIONS
665,OTO To 2S-PPF-PublicProtection,591445,Other Operating Transfers Out,593,Operating Transfers Out,591
666,Prop Tax Curr Yr-Unsecured,410120,Property Taxes-Current Year,410,Property Taxes,410
667,Physicians,527810,Professional/Specialized Svcs,PROF_SPEC_SVC,Non-Personnel Services,NON_PERS_SVCS
668,Health Pretax-Miscellaneous,473109,Health Serv Fund-Emply Contrib,469,Charges For Services,460
669,Prior Year State Revenue Adj,448998,State-Other,STATE_OTHER,Intergovernmental: State,INTERGOV_REV_ST
670,ARRA-Federal Direct,444539,Fed - ARRA,444,Intergovernmental Rev-Federal,440
671,Data Processing Equipment,560610,Equipment Purchase,560,Capital Outlay,560
672,GF-City Attorney-Legal Service,581270,Svcs Of Other Depts -AAO Funds,581,Services Of Other Depts,581
673,Drug Medi-Cal - AB 118,45743,State-Health & Human Services,445,Intergovernmental Rev-State,445
674,Exp Rec Fr Public Library AAO,486430,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
675,OH Office Rental - Ballet,435517,Cultural Facilities - Rentals,CULT_FAC_RENT,Rents & Concessions,RENTS_CONCESSIONS
676,GF-Con-Financial Systems,581120,GF-Con-Financial Systems,581120,Services Of Other Depts,SVCS_OTHER_DEPTS
677,Fringe-HlthCityShareBlueShield,473162,Health Svc Fund-Emp Contr Acti,HLTH_SVC_FUND_EMP_CN,Charges for Services,CHGS_FOR_SERVICES
678,State Hlth Care Initiative Rev,445418,State-Health Programs,STATE_HLTH_PRGM,Intergovernmental: State,INTERGOV_REV_ST
679,City Planning Applicatn Refund,460188,General Government Services,460,Charges For Services,460
680,Exp Rec Fr HSS (AAO),865HS,Recovery for Svcs to AAO Funds,865,Expenditure Recovery,865
681,Infrastructure Development Svc,527970,Profess & Specialized Svcs,527,Non Personnel Services,521
682,GF-Risk Management Svcs (AAO),581170,Svcs Of Other Depts -AAO Funds,581,Services Of Other Depts,581
683,Sheriffs Fees,460125,General Government Services,GENL_GOVT_SVCS,Charges for Services,CHGS_FOR_SERVICES
684,SB 813-5% Administrative Cost,410930,Other Property Taxes,410,Property Taxes,410
685,Economic Interest Fines,425530,Ethics Fines,ETHICS_FINE,"Fines, Forfeiture, & Penalties",FINE_FORF_PENAL
686,Swim Lessons,462652,Rec & Park Service Charges,REC_PARK_SVC_CHGS,Charges for Services,CHGS_FOR_SERVICES
687,Childcare Requirement Fee,475413,Develop Impact Fee & Exaction,DEV_IMP_FEE_EXAC,Other Revenues,OTH_REV
688,Exp Rec Fr Chld Supprt SvcsAAO,486170,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
689,Patient Co-Payments,465918,Net Patient Revenue,465,Charges For Services,460
690,PsychMedicareI-PContractualAdj,465813,Contl Rev Deduct,REVDEDUCT,Charges for Services,CHGS_FOR_SERVICES
691,Hlthy SF W-OHcci-O-P GrossChrg,465328,Outpatient Revenues,465,Charges For Services,460
692,Medicare Managed Care I-P Rev,465226,Inpatient Revenues,465,Charges For Services,460
693,Commission Rents,60153,General Government Services,460,Charges For Services,460
694,Parking - Employees,467711,SFO-Parking Airlines,467,Charges For Services,460
695,Traffic Fines - Parking,425120,Traffic Fines,TRAFFIC_FINES,"Fines, Forfeiture, & Penalties",FINE_FORF_PENAL
696,M I Adults I-P Write-Off,465818,Revenue Deductions,465,Charges For Services,460
697,SFUSD Employee Contrib-PostTax,473236,Health Serv Fund-Emply Contrib,469,Charges For Services,460
698,Scholarship Fund,462662,Rec & Park Service Charges,REC_PARK_SVC_CHGS,Charges for Services,CHGS_FOR_SERVICES
699,OCII Payments To Muni Railway,536910,OCII Payments To City Dept,536,Non Personnel Services,521
700,ITO To 7A-SDD-School Dist Agcy,595332,Intrafund Transfers Out (Ito),595,Intrafund Transfers Out,595
701,OCII Payments To Dt-Telephone,536880,OCII Payments To City Dept,536,Non Personnel Services,521
702,Routine Maint Elevtr-Escalator,528910,Maint Svcs-Building&Structures,528,Non Personnel Services,521
703,Other ERS Employee Share,470109,Retirement Contributions,RET_CONTRIB,Contributions Ret/HSS/HlthCare,CONTRIB_RET_HSS_HLTH
704,Taxicabs,437911,SFO - Other Ground Transport,SFO_OTH_GRND_TRANS,Rents & Concessions,RENTS_CONCESSIONS
705,Interest Earned-Non PooledCash,430140,Interest,430,Interest & Investment Income,430
706,Drop Ers Accrued Ret Allowance,555120,Retirement Trust Fund,555,Fiduciary-Benefit Payments,555
707,Medi-Cal - E/R Contractual Adj,65828,Revenue Deductions,465,Charges For Services,460
708,Music Concourse-Parking,435226,Parking Garage-Lot Rentals,435,Rents & Concessions,435
709,Leases Paid To Real Estate,581650,Leases Paid To Real Estate,581650,Services Of Other Depts,SVCS_OTHER_DEPTS
710,Drop Withdrawal of Drop Account,05781D,Hlth Svc Fnd-Hmo;Dentl & Disab,557,Contribution Refund-Distrib,557
711,Exp Rec Fr Cleanpowersf (Aao),865CL,Recovery for Svcs to AAO Funds,865,Expenditure Recovery,865
712,HealthRevUSD-OTC-Dentl-Retiree,473255,Health Serv Fund-Emply Contrib,469,Charges For Services,460
713,OTI Fr 1G-General Fund,493001,Other Operating Transfers In,OTH_OPER_TRNS_IN,Transfers In,OPER_TFR_IN
714,OTO To 2S-Ndf-Ngborhood Dev Fd,591160,Other Operating Transfers Out,593,Operating Transfers Out,591
715,Sr-DPW-Street Use & Mapping,581069,Sr-DPW-Street Use & Mapping,581069,Services Of Other Depts,SVCS_OTHER_DEPTS
716,Miscellaneous Fee,461199,Planning & Engineering Svcs,PLAN_ENG_SVCS,Charges for Services,CHGS_FOR_SERVICES
717,Parking Meter Card,435111,Parking Meter Collections,PARK_METER_COLL,Rents & Concessions,RENTS_CONCESSIONS
718,Radioactive Materials,544710,Hospital;Clinic & Lab Supplies,544,Materials & Supplies,540
719,City Jail O-P Contractual Adj,465819,Contl Rev Deduct,REVDEDUCT,Charges for Services,CHGS_FOR_SERVICES
720,ITI Fr 2S-Hwf-Human Welfare Fd,495008,Intrafund Transfers In (Iti),495,Intrafund Transfers In,495
721,Food Preparation Equipment,560810,Equipment Purchase,EQUIP_PURCH,Capital Outlay,CAP_OUTLAY
722,ITO To 7A/SCC-CommunityCollege,595329,ITO To 7A/SCC-CommunityCollege,595329,Intrafund Transfers Out,INTRA_TFR_OUT
723,Bond Redemption,571110,Debt Redemption,DEBT_REDEMP,Debt Service,DEBT_SERVICE
724,Loan Rev-Principal Repmt,479940,Other Non-Operating Revenues,479,Other Revenues,475
725,Mission Bay SouthHsgPropTaxInc,410515,Property Tax - Redev Increment,410,Property Taxes,410
726,Electricity Sale-CCA,468615,Electricity Sales,ELEC_SALES,Charges for Services,CHGS_FOR_SERVICES
727,CTI Fr 1G-GF ForMTA Popultn BL,412601,CTI Fr 1G-GF ForMTA Popultn BL,412601,Transfer In-Capital Expenditur,TFR_IN_CAP_EXP
728,SFERS Other Non-Operating Rev,479990,Other Non-Operating Revenues,479,Other Revenues,475
729,TTX - Collection Costs,460165,General Government Services,GENL_GOVT_SVCS,Charges for Services,CHGS_FOR_SERVICES
730,Env Hlth Consultation,463574,Public Health Charges,PUB_HLTH_CHG,Charges for Services,CHGS_FOR_SERVICES
731,GF-Social Services,581950,Svcs Of Other Depts -AAO Funds,581,Services Of Other Depts,581
732,OH Office Rental - Opera,435519,Cultural Facilities - Rentals,CULT_FAC_RENT,Rents & Concessions,RENTS_CONCESSIONS
733,Zellerbach Rehearsal Hall,462891,Concerts; Exhibits & Perform,462,Charges For Services,460
734,Loans Issued By City,539200,Loans Issued By City,539200,Other Support/Care of Persons,OTH_SUP_CARE_PERS
735,Graphics,535310,Other Current Expenses,OTH_CURR_EXP,Non-Personnel Services,NON_PERS_SVCS
736,GF-HR-Client Svc-Recrut-Assess,581470,GF-HR-Client Svc-Recrut-Assess,581470,Services Of Other Depts,SVCS_OTHER_DEPTS
737,Calworks Fraud Incentive - State,45153,State-Public Assistance Admin,445,Intergovernmental Rev-State,445
738,Retiree Contrib-USD-Medical,473242,Health Serv Fund-Emply Contrib,469,Charges For Services,460
739,OCII Payments To Dt-Telephone,536880,OCII Payments to City Dept,OCII_PMTS_CITY_DEPT,Non-Personnel Services,NON_PERS_SVCS
740,Other Federal Grants,444999,Federal - Other,FED_OTHER,Intergovernmental: Federal,INTER_REV_FED
741,TDA Sales Tax-Operating,449101,Other-Transp/Trans Oper Assist,OTH_TRNSP_TRNS_OPRAS,Intergovernmental: Other,INTERGOV_REV_OTH
742,Exp Rec Fr Assessor (Non-AAO),875AS,Recovery for Svcs to Non-AAO Fds,875,Expenditure Recovery,865
743,Exp Rec Fr Sf Gen Hospital AAO,486380,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
744,Other Outpatient Gross Charges,465307,HB Outpatient Revenue,HB_OUTPATIENT_REV,Charges for Services,CHGS_FOR_SERVICES
745,Adoption Services(Fed-Admin),440103,Federal - Pub Assistance Admin,FED_PUB_ASS_ADMIN,Intergovernmental: Federal,INTER_REV_FED
746,Probation Cost,460112,General Government Services,GENL_GOVT_SVCS,Charges for Services,CHGS_FOR_SERVICES
747,Concession-Groundside,437411,SFO - Advertising: Tele & Othe,SFO_ADV_TEL_OTH,Rents & Concessions,RENTS_CONCESSIONS
748,OCII Payments To Dt-Email,536820,OCII Payments To City Dept,536,Non Personnel Services,521
749,Copy Machine,535510,Other Current Expenses,OTH_CURR_EXP,Non-Personnel Services,NON_PERS_SVCS
750,Other Local-Regional Grants,449999,Other-Governmental Agencies,OTH_GOVT_AGEN,Intergovernmental: Other,INTERGOV_REV_OTH
751,5Th & Mission Garage-Commercl,435292,Parking Garage-Lot Rentals,435,Rents & Concessions,435
752,State-Kinship/Foster Care Emergency,45162,State-Public Assistance Admin,445,Intergovernmental Rev-State,445
753,O-P Admin Write-Off,465850,Revenue Deductions,465,Charges For Services,460
754,Misc-Ret Payoff-SP & Vac,501060,Permanent Salaries - Misc,PERM_SAL_MISC,Salaries,SALARIES
755,Adoptions(Fed-Aid),440203,Federal - Pub Assistance Prog,FED_PUB_ASS_PROG,Intergovernmental: Federal,INTER_REV_FED
756,Recorder-Re Recordation Fee,460116,General Government Services,460,Charges For Services,460
757,Other Fed-Public Asstnce Prog,440299,Federal-Public Assistance Prog,440,Intergovernmental Rev-Federal,440
758,PB OP Other Govt FC112,465672,PB Outpatient Revenue,PB_OUTPATIENT_REV,Charges for Services,CHGS_FOR_SERVICES
759,Special Traffic Permit,420331,Road Privileges & Permits,ROAD_PRIV_PERM,"Licenses, Permits,& Franchises",LIC_PERM_FRAN
760,BART ADA,449103,Other-Transp/Trans Oper Assist,OTH_TRNSP_TRNS_OPRAS,Intergovernmental: Other,INTERGOV_REV_OTH
761,PrivateInsurnceI-PGrosChgs,465205,HB Inpatient Revenues,HB_INPATIENT_REV,Charges for Services,CHGS_FOR_SERVICES
762,CA OES Disaster - State Share,447611,State - Disaster Relief,447,Intergovernmental Rev-State,445
763,Bond Interest-Exp-Arbitrage,574130,Debt Interest & Other Charges,574,Debt Service,570
764,Over-ShortCashReprtBoardOfSups,478905,Other Operating Adjustments,478,Other Revenues,475
765,Exp Rec-General Unallocated,486990,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
766,Exp Rec Fr Purchaser (AAO),865PR,Recovery for Svcs to AAO Funds,865,Expenditure Recovery,865
767,Tree-Planting In-Lieu Fee,425308,Other Non-Court Fines,OTHER_NON_COURT_FINE,"Fines, Forfeiture, & Penalties",FINE_FORF_PENAL
768,CTO To 5N-MTA SM&SustainableSt,591040,Contribution Transfers Out,CONT_TFR_OUT,Transfers Out,OPER_TFR_OUT
769,SCC Childcare,45143,State-Public Assistance Admin,445,Intergovernmental Rev-State,445
770,Ordnance,545210,Safety,SAFETY,Materials & Supplies,MTL_SUPP
771,Interest Earned - Pooled Cash,430150,Interest,INTEREST,Interest & Investment Income,INT_INV_INC
772,City Jail Outpatient GrossChrg,465306,HB Outpatient Revenue,HB_OUTPATIENT_REV,Charges for Services,CHGS_FOR_SERVICES
773,Hardware,542210,Building/Construction Supplies,BLDG_CNST_SUP,Materials & Supplies,MTL_SUPP
774,Water Sewage Treatment Eqpmnt,560910,Equipment Purchase,EQUIP_PURCH,Capital Outlay,CAP_OUTLAY
775,Proceeds From RefundingOfBond,480121,Proceed From Long-Term Debts,480,Other Financing Sources,480
776,Kin-Gap Aid Fed Share,440214,Federal-Public Assistance Prog,440,Intergovernmental Rev-Federal,440
777,OTI Fr 2S-Chf-Children'S Fund,493005,Other Operating Transfers In,493,Operating Transfers In,491
778,Bond Interest-Exp-Arbitrage,574130,Debt Interest & Other Charges,DEBT_INT_OTH_CHGS,Debt Service,DEBT_SERVICE
779,PB IP County Indigent FC117,465577,PB Inpatient Revenue,PB_INPATIENT_REV,Charges for Services,CHGS_FOR_SERVICES
780,SF City Planning Permits-Fees,552230,Taxes: Licenses/Permits,TAX_LIC_PERM,Non-Personnel Services,NON_PERS_SVCS
781,Is-GSA-Flet Pol-CarsHRe Vehcle,581810,Is-GSA-Flet Pol-CarsHRe Vehcle,581810,Services Of Other Depts,SVCS_OTHER_DEPTS
782,DelinqntBusinessTaxCollectnFee,460179,General Government Services,GENL_GOVT_SVCS,Charges for Services,CHGS_FOR_SERVICES
783,Printing,535520,Other Current Expenses,535,Non Personnel Services,521
784,Exp Rec Fr Controller (Non-AAO),875CO,Recovery for Svcs to Non-AAO Fds,875,Expenditure Recovery,865
785,Revenue From Health Plan,465120,Hospital Service Charges,HOSP_SVC_CHGS,Charges for Services,CHGS_FOR_SERVICES
786,Senior Monthly Pass,466105,Transit Pass Revenue,466,Charges For Services,460
787,B Flx Claims Paid,556130,HlthSvcFnd-HMO/Dental/Disab,HLTH_SVC_HOM_DNT_DIS,Fiduciary-Benefit Payments,FID_BEN_PMT
788,OTI Fr 2S-Gol-Golf Fund,493012,Other Operating Transfers In,493,Operating Transfers In,491
789,Exp Rec Fr SFCTA (Non-AAO),875TA,Recovery for Svcs to Non-AAO Fds,875,Expenditure Recovery,865
790,Jdgmt-PUnit-Taxabl Comp Damage,553130,Judgments & Claims,553,Non Personnel Services,521
791,Exp Rec Fr Port Commission (AAO),865PO,Recovery for Svcs to AAO Funds,865,Expenditure Recovery,865
792,PostTaxDentlPlan-5_DeltaCare,473138,Health Serv Fund-Emply Contrib,469,Charges For Services,460
793,Programmatic Projects-Budget,506070,Programmatic Projects-Budget,506070,Programmatic Projects,PROG_PROJ
794,PB IP Charity FC114,465574,PB Inpatient Revenue,PB_INPATIENT_REV,Charges for Services,CHGS_FOR_SERVICES
795,Planning-MediclCannbisDispnsry,460195,General Government Services,GENL_GOVT_SVCS,Charges for Services,CHGS_FOR_SERVICES
796,GF-Immigrant and Language Serv,581166,GF-Immigrant and Language Serv,581166,Services Of Other Depts,SVCS_OTHER_DEPTS
797,Vision Care -CCSF-Retiree,473267,Hlth Srv Fnd-Empl Contr-Retire,469,Charges For Services,460
798,Golf Fees,462631,Rec & Park Service Charges,REC_PARK_SVC_CHGS,Charges for Services,CHGS_FOR_SERVICES
799,SF DPW Permits-Fees,552260,Taxes; Licenses & Permits,552,Non Personnel Services,521
800,Sale Of Water-SF Consumers,468111,Water Sales,468,Charges For Services,460
801,Temp Misc LumpSum Payoff,505060,Temp Misc Salaries,TEMP_MISC,Salaries,SALARIES
802,HB IP County Indigent FC117,465277,HB Inpatient Revenues,HB_INPATIENT_REV,Charges for Services,CHGS_FOR_SERVICES
803,State Sales Tax(Ab1107),447101,State-Trans/Transit-Oper Assis,ST_TRNS_TRANOPER_AST,Intergovernmental: State,INTERGOV_REV_ST
804,Port-Misc Receipts,475999,Port-Other Non-Operating Rev,PORT_OTH_NONOP_REV,Other Revenues,OTH_REV
805,Rebate Prog-Water Conservation,538200,City Grant Programs,538,City Grant Programs,538
806,Use 40166 (Chld Welf Svc-Hlth Title XIX),45166,State-Public Assistance Admin,445,Intergovernmental Rev-State,445
807,Retire City Misc,513010,Retirement,513,Mandatory Fringe Benefits,513
808,Non-Govt Match No Longer Used,444937,Federal-Other,444,Intergovernmental Rev-Federal,440
809,ITI Fr 2S/PWF-Public Works Fd,495013,ITI Fr 2S/PWF-Public Works Fd,495013,IntraFund Transfers In,INTRAFD_TFR_IN
810,Construction Contingency,527060,Profess & Specialized Svcs,527,Non Personnel Services,521
811,Fuel Sales & Maintenance Svcs,460202,General Government Services,460,Charges For Services,460
812,Exp Rec Fr Rent ArbtrtonBd AAO,486570,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
813,Stage 1 Childcare (Fed-Aid),440101,Federal - Pub Assistance Admin,FED_PUB_ASS_ADMIN,Intergovernmental: Federal,INTER_REV_FED
814,HB IP Comm Non-HMO FC106,465266,HB Inpatient Revenues,HB_INPATIENT_REV,Charges for Services,CHGS_FOR_SERVICES
815,Fed-Narc Forfeitures & Seizure,444932,Federal-Other,444,Intergovernmental Rev-Federal,440
816,FosterFamHomeLicsing Fed-Admin,440102,Federal - Pub Assistance Admin,FED_PUB_ASS_ADMIN,Intergovernmental: Federal,INTER_REV_FED
817,Street Cleaning State Highway,460801,Highway Service Charges,HWY_SVC_CHG,Charges for Services,CHGS_FOR_SERVICES
818,Bond Fee-Public Guardian,460131,General Government Services,GENL_GOVT_SVCS,Charges for Services,CHGS_FOR_SERVICES
819,Fringe-Hlth City Share-Kaiser,473172,Health Serv Fund-Emply Contrib,469,Charges For Services,460
820,Department Overhead,520190,Overhead,OVERHEAD,Overhead and Allocations,OH_ALLOCS
821,Exp Rec Fr Human Resources AAO,486590,ISF Charges for Services to AAO Funds,860,ISF Charges for Services,860
822,GF-Chs-Toxic Waste&Haz Mat Svc,581580,Svcs Of Other Depts -AAO Funds,581,Services Of Other Depts,581
823,Grand Jury,526510,Court Fees and Other Comp,COURT_FEES_OTH_COMP,Non-Personnel Services,NON_PERS_SVCS
824,OTO To 3C/SIF-Street Impvt CP,591250,Other Operating Transfers Out,OTH_OPER_TF_OUT,Transfers Out,OPER_TFR_OUT
825,Other Equipment Maint Supplies,543990,Equipment Maintenance Supplies,543,Materials & Supplies,540
826,ITI Fr 3C-Pli-Public Library F,495043,Intrafund Transfers In (Iti),495,Intrafund Transfers In,495
827,Fire Residential Inspectn Fee,460679,Public Safety Service Charges,PUB_SAFE_SVC_CHGS,Charges for Services,CHGS_FOR_SERVICES
828,Gas Tax Apportionment 725,446212,State-Highway Users Tax,ST_HWY_USER_TAX,Intergovernmental: State,INTERGOV_REV_ST
829,Plan Checking Fees-Beh,463540,Public Health Charges,463,Charges For Services,460
830,OTO To 2S/PWF-Public Works Fd,591175,Other Operating Transfers Out,OTH_OPER_TF_OUT,Transfers Out,OPER_TFR_OUT
831,Supp Asst SB813-Py Secured,410410,Supplemental-Prior,410,Property Taxes,410
832,Power-Scheduling Coordinator,533220,Power for Resale,POWER_RESALE,Non-Personnel Services,NON_PERS_SVCS
833,Interest Expense-Cap Assets,568110,Interest Expense-Capitalized,568,Capital Outlay,560
834,Freight-Delivery,535210,Other Current Expenses,OTH_CURR_EXP,Non-Personnel Services,NON_PERS_SVCS
835,Truck Permits,420311,Road Privileges & Permits,420,Licenses; Permits & Franchises,420
836,Amer Rescue Plan Act - Fed Dir,443311,Fed-American Rescue Plan Act,FED_AMER_RES_PLN_ACT,Intergovernmental: Federal,INTER_REV_FED
837,"Health , Retiree Paid-Dental",473200,Hlth Srvc Fnd-Emp Contr-Active,469,Charges For Services,460
838,Emplye Parking-Oth  City Depts,435235,Parking Garage-Lot Rentals,435,Rents & Concessions,435
839,"Ret City Share, Misc (New)",470114,Retirement Contributions,RET_CONTRIB,Contributions Ret/HSS/HlthCare,CONTRIB_RET_HSS_HLTH
840,Impairment Loss,07701,Bad Debts,577,Extraordinary Items - Loss,577
841,Audio-Visual Equipt&Suppl-5K&<,549770,Other Materials/Supplies,OTH_MATL_SUPP,Materials & Supplies,MTL_SUPP
842,Assessment Admin Charge,460159,General Government Services,GENL_GOVT_SVCS,Charges for Services,CHGS_FOR_SERVICES
843,"Ret City Share, Police (Old)",470115,Retirement - Contributions,470,Contribtns (Ret;Hss;Hlth Care),470
844,Vehicle Rental,531210,Rents & Leases-Equipment,531,Non Personnel Services,521
845,CAAP Homeless Aid,537250,CAAP Homeless Aid,537250,Aid Payments,AID_PMTS
846,OCII Payments To Muni Railway,536910,OCII Payments to City Dept,OCII_PMTS_CITY_DEPT,Non-Personnel Services,NON_PERS_SVCS
847,Marriage License,420921,Other Licenses & Permits,420,Licenses; Permits & Franchises,420
848,10B Adm Code Overhead - Police,460197,General Government Services,460,Charges For Services,460
849,Water Resale-Sewage Disposal,477311,SFO-Water,477,Other Revenues,475
850,DstrctAttrny-PublcDefndr-Ab109,448918,State-Other,STATE_OTHER,Intergovernmental: State,INTERGOV_REV_ST
851,Witness Reimbursements,526820,Court Fees & Oth Compensation,526,Non Personnel Services,521
852,Economic Interest Fines,425530,Ethics Fines,425,Fines; Forfeitures & Penalties,425
853,Proceeds From OtherL-TObligtns,480199,Proceed from Long-Term Debts,PRCD_LT_DEBT,Other Financing Sources,OTH_FIN_SRCS
854,Exp Rec Fr Bus & Enc Dev (Non-AAO),875ED,Recovery for Svcs to Non-AAO Fds,875,Expenditure Recovery,865
855,Energy Inspection,461120,Planning & Engineering Svcs,PLAN_ENG_SVCS,Charges for Services,CHGS_FOR_SERVICES
856,Office Equipment,560980,Equipment Purchase,EQUIP_PURCH,Capital Outlay,CAP_OUTLAY
857,Exp Rec Fr Police Comssn AAO,486500,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
858,Patient Payments,465101,Hospital Service Charges,465,Charges For Services,460
859,Interior Lead Abatement Fees,463592,Public Health Charges,463,Charges For Services,460
860,Foster Care(State-Aid),445202,State-Public Assistance Prog,445,Intergovernmental Rev-State,445
861,IP Adj Jail FC115,465775,Inpatient Contl Rev Deduct,INPATIENT_REVDEDUCT,Charges for Services,CHGS_FOR_SERVICES
862,Additional Electrical Inspectn,461142,Planning & Engineering Svcs,PLAN_ENG_SVCS,Charges for Services,CHGS_FOR_SERVICES
863,Advertising,535810,Other Current Expenses,OTH_CURR_EXP,Non-Personnel Services,NON_PERS_SVCS
864,ITO To 3CSif-StrtImpvtCapPrjFd,595180,Intrafund Transfers Out (Ito),595,Intrafund Transfers Out,595
865,DT Technology Projects,581140,DT Technology Projects,581140,Services Of Other Depts,SVCS_OTHER_DEPTS
866,Transit Special Service,466401,Transit Charter Bus Revenue,466,Charges For Services,460
867,Single Ride Cable Car Ticket,466222,Transit Cable Car Revenue,466,Charges For Services,460
868,Dental-CityPkupPlan-5Deltacare,473221,Health Svc Fund-Emp Contr Acti,HLTH_SVC_FUND_EMP_CN,Charges for Services,CHGS_FOR_SERVICES
869,OCII Payments-RENT Real Estate,536950,OCII Payments To City Dept,536,Non Personnel Services,521
870,HB OP Healthy SF FC113,465373,HB Outpatient Revenue,HB_OUTPATIENT_REV,Charges for Services,CHGS_FOR_SERVICES
871,SFCCD-Miscellaneous Services,475199,SF Comm College Dist Rev,SFCC_DIST_REV,Other Revenues,OTH_REV
872,ITOTo3C-Rpf-Rec&PrkFacCapPrjFd,595170,Intrafund Transfers Out (Ito),595,Intrafund Transfers Out,595
873,GF-HR-Recruitment-Assessnt W-O,581440,GF-HR-Recruitment-Assessnt W-O,581440,Services Of Other Depts,SVCS_OTHER_DEPTS
874,Loans Issued By City(1099 Rpt),539230,Oth Support & Care of Persons,539,Other Support&Care Of Persons,539
875,ITO To 2S-Ndf-Nghborhood DevFd,595110,Intrafund Transfers Out (Ito),595,Intrafund Transfers Out,595
876,State-Narc Forfeitures&Seizure,444951,State-Other,STATE_OTHER,Intergovernmental: State,INTERGOV_REV_ST
877,Redemption Fee,460168,General Government Services,GENL_GOVT_SVCS,Charges for Services,CHGS_FOR_SERVICES
878,Assessment Admin Charge,460159,General Government Services,460,Charges For Services,460
879,Retirement Pick Up,513710,Retirement,513,Mandatory Fringe Benefits,513
880,Paratransit Contract Expense,535910,Other Current Expenses,OTH_CURR_EXP,Non-Personnel Services,NON_PERS_SVCS
