program_id,program,program_code,department,department_code,organization_group,organization_group_code,related_govt_units
304,General City Responsibilities,FCZ,ECN Economic & Wrkfrce Dvlpmnt,ECN,"Public Works, Transportation & Commerce",2,No
305,Fire General,AGE,FIR Fire Department,FIR,Public Protection,1,No
306,Technology-COIT Funded,TECHC,ASR Assessor / Recorder,ASR,General Administration & Finance,6,No
307,Children's Fund Programs,CBI,MYR Mayor,MYR,General Administration & Finance,6,No
308,Capital,CAP,WAR War Memorial,WAR,Culture & Recreation,5,No
309,No Program Defined,AXX,SHF Sheriff,SHF,Public Protection,1,No
310,General Engineering Servi,BAF,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
311,Capital-CPC Funded,CAPCP,CON Controller,CON,General Administration & Finance,6,No
312,Publicity And Advertising,EEK,MYR Mayor,MYR,General Administration & Finance,6,No
313,Maintenance,BKY,PRT Port,PRT,"Public Works, Transportation & Commerce",2,No
314,Capital-CPC Funded,CAPCP,HSA Human Services Agency,HSA,Human Welfare & Neighborhood Development,3,No
315,Operating,OPR,CII Community Invest/Infrastr,CII,Human Welfare & Neighborhood Development,3,Yes
316,Environment,CIG,ENV Environment,ENV,Human Welfare & Neighborhood Development,3,No
317,Affordable Housing,FFC,GEN General City / Unallocated,GEN,General City Responsibilities,7,No
318,Disaster Recovery,RCVY,ADM GSA - City Administrator,ADM,General Administration & Finance,6,No
319,Water Capital Projects,BCI,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
320,Engineering,BCU,HRD Human Resources,HRD,General Administration & Finance,6,No
322,No Program Defined,DXX,DPH Public Health,DPH,Community Health,4,No
323,Management Information,BCS,PUB Public Utilities Bureaus,PUC,"Public Works, Transportation & Commerce",2,No
324,Human Resources,BCW,PUB Public Utilities Bureaus,PUC,"Public Works, Transportation & Commerce",2,No
325,Capital-CPC Funded,CAPCP,PUC Public Utilities Commsn,PUC,"Public Works, Transportation & Commerce",2,No
326,Strategic Planning/Compliance,BCV,PUB Public Utilities Bureaus,PUC,"Public Works, Transportation & Commerce",2,No
327,Maritime,BGA,PRT Port,PRT,"Public Works, Transportation & Commerce",2,No
328,Delinquent Revenue,FCS,TTX Treasurer/Tax Collector,TTX,General Administration & Finance,6,No
329,SFGH - Emergency - Psychiatric Services,D5S,DPH Public Health,DPH,Community Health,4,No
330,Capital-CPC Funded,CAPCP,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
331,MRD-Construction Division (Const),BEK,ART Arts Commission,ART,Culture & Recreation,5,No
332,Disaster Recovery,RCVY,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
333,Communications & Marketing,BG3,AIR Airport Commission,AIR,"Public Works, Transportation & Commerce",2,No
334,Debt Service,BDQ,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
335,Procurement Services,FCC,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
336,Planning & Development,BKW,PRT Port,PRT,"Public Works, Transportation & Commerce",2,No
337,Operating,OPR,AIR Airport Commission,AIR,"Public Works, Transportation & Commerce",2,No
338,911/Communications,ACI,POL Police,POL,Public Protection,1,No
339,Community Arts & Education,EEO,ART Arts Commission,ART,Culture & Recreation,5,No
340,City Capital Projects,BAW,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
341,Branch Program,EEG,AIR Airport Commission,AIR,"Public Works, Transportation & Commerce",2,No
342,Culture & Recreation/Departmental,EIG,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
343,Capital,CAP,PUC Public Utilities Commsn,PUC,"Public Works, Transportation & Commerce",2,No
344,Engineering,BCU,DT GSA - Technology,TIS,General Administration & Finance,6,No
345,No Program Defined,XXX,REC Recreation & Park Commsn,REC,Culture & Recreation,5,Yes
346,Children's Baseline,FAL,LIB Public Library,LIB,Culture & Recreation,5,No
347,No Program Defined,AXX,ADM Gen Svcs Agency-City Admin,ADM,Public Protection,1,No
348,Capital,CAP,HRC Human Rights Commission,HRC,Human Welfare & Neighborhood Development,3,No
349,Technology-COIT Funded,TECHC,CON Controller,CON,General Administration & Finance,6,No
350,Pre - Sentencing Investigation,AKG,ADP Adult Probation,ADP,Public Protection,1,No
351,Outdoor Public Warning System,BIY,DEM Emergency Management,ECD,Public Protection,1,No
352,Water Capital Projects,BCI,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
353,Citywide Planning,FAH,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
354,No Program Defined,XXX,ADP Adult Probation,ADP,Public Protection,1,No
355,Disaster Recovery,RCVY,SCI Academy of Sciences,SCI,Culture & Recreation,5,No
356,Administration,BG1,AIR Airport Commission,AIR,"Public Works, Transportation & Commerce",2,No
357,Asian Arts Museum,EEI,AAM Asian Art Museum,AAM,Culture & Recreation,5,No
358,Wastewater Operations,BAX,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
359,SFGH - Acute Care - Hospital,D1H,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
360,Parking & Traffic,BE2,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
361,Sheriff Facilities Maintenance,AKD,SHF Sheriff,SHF,Public Protection,1,No
362,Disaster Recovery,RCVY,RET Retirement System,RET,General Administration & Finance,6,No
363,Emergency Communications,BIR,DEM Emergency Management,ECD,Public Protection,1,No
364,Medical Examiner,ASG,SHF Sheriff,SHF,Public Protection,1,No
365,Hetch Hetchy Capital Projects,BCP,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
366,No Program Defined,XXX,DPH Public Health,DPH,Community Health,4,Yes
367,Administrative,ADMIN,PDR Public Defender,PDR,Public Protection,1,No
368,Toxics,CIT,ENV Environment,ENV,Human Welfare & Neighborhood Development,3,No
369,No Program Defined,NKEY,DBI Building Inspection,DBI,"Public Works, Transportation & Commerce",2,No
370,Wastewater Capital Projects,BDP,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
371,Maintenance-CPC Funded,MAINC,SHF Sheriff,SHF,Public Protection,1,No
372,Art Commission-Administration,EEJ,ART Arts Commission,ART,Culture & Recreation,5,No
373,Capital,CAP,PRT Port,PRT,"Public Works, Transportation & Commerce",2,No
374,1660 Mission Street Building,FEW,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
375,Disaster Recovery,RCVY,LIB Public Library,LIB,Culture & Recreation,5,No
376,Capital,CAP,ENV Environment,ENV,Human Welfare & Neighborhood Development,3,No
377,Maintenance,MAINT,ART Arts Commission,ART,Culture & Recreation,5,No
378,Water Capital Projects,BCI,SHF Sheriff,SHF,Public Protection,1,No
379,Operating,OPR,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,Yes
380,Muni-Accessible Services,BEO,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
381,Public Administrator,CIH,ADM Gen Svcs Agency-City Admin,ADM,Human Welfare & Neighborhood Development,3,No
382,Hetch Hetchy Capital Projects,BCP,DT GSA - Technology,TIS,General Administration & Finance,6,No
383,Trial Court Services,AMT,CRT Superior Court,CRT,Public Protection,1,No
384,Mapping,BA6,WWE Wastewater Enterprise,CWP,"Public Works, Transportation & Commerce",2,No
385,Neighborhood Services,EAE,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
386,Civic Collection,EER,ART Arts Commission,ART,Culture & Recreation,5,No
387,Recreation,ECB,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
388,Community Development,BAQ,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
389,Administrative,ADMIN,HOM Homelessness Services,HOM,Human Welfare & Neighborhood Development,3,No
390,Technology-COIT Funded,TECHC,SHF Sheriff,SHF,Public Protection,1,No
391,Disaster Recovery,RCVY,POL Police,POL,Public Protection,1,No
392,No Program,No Program Code,REG Elections,REG,General Administration & Finance,6,No
393,Capital Programs & Construction,BE7,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
394,Solid Waste Management,BAI,ENV Environment,ENV,Human Welfare & Neighborhood Development,3,No
395,Disaster Recovery,RCVY,HRD Human Resources,HRD,General Administration & Finance,6,No
396,Neighborhood Services,EAE,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
397,Administration,BDA,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
398,Departmental Fund Transfer,FZZ,DT GSA - Technology,TIS,General Administration & Finance,6,No
399,Juvenile Hall,AKE,JUV Juvenile Probation,JUV,Public Protection,1,No
400,Mapping,BA6,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
401,Administrative,ADMIN,ADP Adult Probation,ADP,Public Protection,1,No
402,Operating,OPR,MYR Mayor,MYR,General Administration & Finance,6,No
403,City Distribution,BCF,PUB Public Utilities Bureaus,PUC,"Public Works, Transportation & Commerce",2,No
404,County Education Services,EEE,USD County Education Office,USD,Human Welfare & Neighborhood Development,3,Yes
405,Adult Services,EGE,LIB Public Library,LIB,Culture & Recreation,5,No
406,Hetch Hetchy Capital Projects,BCP,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
407,Facilites,EGH,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
408,Mental Health - Community Care,DMM,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
409,Traffic Engineering & Operation,BKG,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
410,Wastewater Collection,BDE,WWE Wastewater Enterprise,CWP,"Public Works, Transportation & Commerce",2,No
411,Retiree Health Care -  Prop B,FHC,GEN General City / Unallocated,GEN,General City Responsibilities,7,Yes
412,Rail & Bus Services,BEN,PUB Public Utilities Bureaus,PUC,"Public Works, Transportation & Commerce",2,No
413,Civil Enforcement,AMG,SHF Sheriff,SHF,Public Protection,1,No
414,Economic Analysis,FFM,CON Controller,CON,General Administration & Finance,6,No
415,General City Responsibilities,FCZ,LIB Public Library,LIB,Culture & Recreation,5,No
416,General City Responsibilities,FCZ,GEN General City / Unallocated,GEN,General City Responsibilities,7,Yes
417,General Fund Unallocated,FXX,GEN General City / Unallocated,GEN,General City Responsibilities,7,No
418,Untitled,ZZZ,FIR Fire Department,FIR,Public Protection,1,No
419,Public Guardian,CGS,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
420,Transitional-Aged Youth Baseline,FAY,HOM HOMELESSNESS SERVICES,HOM,Human Welfare & Neighborhood Development,3,No
421,General Fund Unallocated,FXX,GEN General City / Unallocated,UNA,General City Responsibilities,7,No
422,Employee Relations,FC4,HRD Human Resources,HRD,General Administration & Finance,6,No
423,Operating,OPR,CSS Child Support Services,CSS,Human Welfare & Neighborhood Development,3,Yes
424,Admin/Finance,BKU,PRT Port,PRT,"Public Works, Transportation & Commerce",2,No
425,General Management,BCR,DT GSA - Technology,TIS,General Administration & Finance,6,No
426,County Veterans Services,AQB,ADM Gen Svcs Agency-City Admin,ADM,Human Welfare & Neighborhood Development,3,No
427,Lead-Based Paint Hazard Control Program,CGN,MYR Mayor,MYR,General Administration & Finance,6,No
428,No Program Defined,NKEY,CFC Children & Families Commsn,CFC,Human Welfare & Neighborhood Development,3,No
429,Children's Baseline,FAL,HOM HOMELESSNESS SERVICES,HOM,Human Welfare & Neighborhood Development,3,No
430,Operating,OPR,DPH Public Health,DPH,Community Health,4,Yes
431,Operating,OPR,TTX Treasurer/Tax Collector,TTX,General Administration & Finance,6,No
432,Clean Air,CIO,AIR Airport Commission,AIR,"Public Works, Transportation & Commerce",2,No
433,Food Stamps,CAH,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
434,Wastewater Operations,BAX,ART Arts Commission,ART,Culture & Recreation,5,No
435,Police,ASA,POL Police,POL,Public Protection,1,No
436,PUC-Work Order Recovery,BKN,PUB Public Utilities Bureaus,PUC,"Public Works, Transportation & Commerce",2,No
437,Wastewater Collection,BDE,PRT Port,PRT,"Public Works, Transportation & Commerce",2,No
438,Capital Programs & Construction,BE7,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
439,No Program Defined,XXX,DEM Emergency Management,ECD,Public Protection,1,No
440,Operating,OPR,HSA Human Services Agency,HSA,Human Welfare & Neighborhood Development,3,Yes
441,Administrative,ADMIN,MYR Mayor,MYR,General Administration & Finance,6,No
442,Building Repair And Maintenance,BAR,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
443,Facilities,BG6,FIR Fire Department,FIR,Public Protection,1,No
444,Street Use Management,BAT,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
445,Neighborhood Services,FAJ,MYR Mayor,MYR,General Administration & Finance,6,No
446,No Program Defined,XXX,CSS Child Support Services,CSS,Human Welfare & Neighborhood Development,3,No
447,Water Quality,BCD,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
448,Office Of Emergency Service,ASK,POL Police,POL,Public Protection,1,No
449,General Fund Unallocated,FXX,MYR Mayor,MYR,General Administration & Finance,6,No
450,Administration/Support Services,BAN,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
451,Operating,OPR,HSS Health Service System,HSS,General Administration & Finance,6,Yes
452,Rec & Park Administration,EIA,MYR Mayor,MYR,General Administration & Finance,6,No
453,Power Utility Services,BCC,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
454,No Program Defined,XXX,AIR Airport Commission,AIR,"Public Works, Transportation & Commerce",2,Yes
455,Hetch Hetchy Power,BDN,PUB Public Utilities Bureaus,PUC,"Public Works, Transportation & Commerce",2,No
456,Citywide Services,ECQ,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
457,Business & Finance,BG2,AIR Airport Commission,AIR,"Public Works, Transportation & Commerce",2,No
458,Administration,FEK,CAT City Attorney,CAT,General Administration & Finance,6,No
459,Special Events,EVENT,SHF Sheriff,SHF,Public Protection,1,No
460,Operating,OPR,LLB Law Library,LLB,Culture & Recreation,5,No
461,Water Quality,BCD,WWE Wastewater Enterprise,CWP,"Public Works, Transportation & Commerce",2,No
462,Adult Protective Services,CGO,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
463,Water Capital Projects,BCI,HRD Human Resources,HRD,General Administration & Finance,6,No
464,Departmental Fund Transfer,EZZ,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
465,Workers Compensation Claims,BEC,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
466,Administration & Management,CMN,HOM HOMELESSNESS SERVICES,HOM,Human Welfare & Neighborhood Development,3,No
467,No Program Defined,XXX,GEN General City / Unallocated,UNA,General City Responsibilities,7,No
468,No Program Defined,XXX,CPC City Planning,CPC,General Administration & Finance,6,No
469,Comm Hlth - Prevention - Aids,DPC,DPH Public Health,DPH,Community Health,4,No
470,No Program,No Program Code,HOM Homelessness Services,HOM,Human Welfare & Neighborhood Development,3,No
471,Customer Relations Management,BTC,DT GSA - Technology,TIS,General Administration & Finance,6,No
472,Street And Sewer Repair,BA2,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
473,Residential Permit Parking,BKR,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
474,No Program Defined,XXX,DT GSA - Technology,TIS,General Administration & Finance,6,No
475,Diversion And Community Integration Prog,CGP,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
476,"Facilities Maintenance,Construction",BGH,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
477,Moscone Expansion Project,BGP,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
478,Public Art,EEN,ART Arts Commission,ART,Culture & Recreation,5,No
479,Maintenance-CPC Funded,MAINC,POL Police,POL,Public Protection,1,No
480,City Administrator - Administration,FAC,DT GSA - Technology,TIS,General Administration & Finance,6,No
481,Operating,OPR,TTX Treasurer/Tax Collector,TTX,General Administration & Finance,6,Yes
482,Wastewater Treatment,BDC,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
483,No Program Defined,NKEY,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
484,Mapping,BA6,PUB Public Utilities Bureaus,PUC,"Public Works, Transportation & Commerce",2,No
485,Non-Grant Construction Projects,BAC,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
486,Violence Prevention,CVP,PDR Public Defender,PDR,Public Protection,1,No
487,Treasure Island,BK6,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,Yes
488,Administrative,ADMIN,HRD Human Resources,HRD,General Administration & Finance,6,No
489,Administrative,ADMIN,ECN Economic & Wrkfrce Dvlpmnt,ECN,"Public Works, Transportation & Commerce",2,No
490,Office On Aging,CIF,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
491,Community Arts & Education,EID,LIB Public Library,LIB,Culture & Recreation,5,No
492,Neighborhood Services,EAE,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
493,Sunshine Ordinance Task Force,FAK,BOS Board Of Supervisors,BOS,General Administration & Finance,6,No
494,Administration,FCW,GEN General City / Unallocated,UNA,General City Responsibilities,7,No
495,Patrol,ACX,POL Police,POL,Public Protection,1,No
496,Capital,CAP,DBI Building Inspection,DBI,"Public Works, Transportation & Commerce",2,No
497,Waterfront Transportation,FEU,MYR Mayor,MYR,General Administration & Finance,6,No
498,Operating,OPR,CHF Children;Youth & Families,CHF,Human Welfare & Neighborhood Development,3,No
499,No Program Defined,XXX,TTX Treasurer/Tax Collector,TTX,General Administration & Finance,6,No
500,Fast Pass On Bart,BEY,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
501,Maintenance-CPC Funded,MAINC,MYR Mayor,MYR,General Administration & Finance,6,No
502,City Capital Projects,BAW,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
503,No Program Defined,XXX,POL Police,POL,Public Protection,1,No
504,Operating,OPR,ADM GSA - City Administrator,ADM,General Administration & Finance,6,No
505,Facilites,EGH,CAT City Attorney,CAT,General Administration & Finance,6,No
506,Public Art,EEN,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
507,Fire Bureau Of Training,AEG,FIR Fire Department,FIR,Public Protection,1,No
508,No Program Defined,XXX,GEN General City / Unallocated,UNA,General City Responsibilities,7,Yes
509,Neighborhood Services,EAE,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
510,Laguna Honda Hosp - Acute Care,DBG,DPH Public Health,DPH,Community Health,4,No
511,No Program,No Program Code,MYR Mayor,MYR,General Administration & Finance,6,No
512,No Program Defined,NKEY,JUV Juvenile Probation,JUV,Public Protection,1,No
513,Fire Neighborhood Emerg. Resp. Training,AEI,FIR Fire Department,FIR,Public Protection,1,No
514,Capital Projects,ECS,PRT Port,PRT,"Public Works, Transportation & Commerce",2,No
515,Clerk Of The Board,FAE,BOS Board Of Supervisors,BOS,General Administration & Finance,6,No
516,Clean Powersf,BC5,HHP CleanPowerSF,CLP,"Public Works, Transportation & Commerce",2,No
517,MRD-Municipal Railway Exec Office (MREO),BEM,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
518,Operating,OPR,DAT District Attorney,DAT,Public Protection,1,Yes
519,Public Administrator/Guardian,AQA,ADM Gen Svcs Agency-City Admin,ADM,Human Welfare & Neighborhood Development,3,No
520,Zoning Administration And Compliance,FZA,CPC City Planning,CPC,General Administration & Finance,6,No
521,Water Capital Projects,BCI,CON Controller,CON,General Administration & Finance,6,No
522,No Program Defined,XXX,GEN General City / Unallocated,GEN,General City Responsibilities,7,No
523,Power Infrastructure Development,BDI,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
524,Work Orders & Grants,AIE,DAT District Attorney,DAT,Public Protection,1,No
525,Wastewater Operations,BAX,CPC City Planning,CPC,General Administration & Finance,6,No
526,Laguna Honda - Long Term Care,DA5,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
527,Police Operations,ACQ,POL Police,POL,Public Protection,1,No
528,SFGH - Acute Care - Hospital,D1H,DPH Public Health,DPH,Community Health,4,Yes
529,Bureau Of Design And Construction,BG8,AIR Airport Commission,AIR,"Public Works, Transportation & Commerce",2,No
530,Capital Projects,ECS,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
531,Community Investment,FAB,DPH Public Health,DPH,Community Health,4,No
532,Gallery,EES,ART Arts Commission,ART,Culture & Recreation,5,No
533,Facilities Mgmt & Operations,FFH,PUB Public Utilities Bureaus,PUC,"Public Works, Transportation & Commerce",2,No
534,Convention Facilities Program Management,EAD,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
535,Maintenance-CPC Funded,MAINC,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
536,Mta Development Impact Fee,BE9,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
537,SFGH - Acute Care - Hospital,D1H,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
538,General Management,BCR,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
539,Main Program,EEF,LIB Public Library,LIB,Culture & Recreation,5,No
540,No Program Defined,NKEY,PUB Public Utilities Bureaus,PUC,"Public Works, Transportation & Commerce",2,No
541,Public Defender Work Order,AIC,PDR Public Defender,PDR,Public Protection,1,No
542,General Management,BCR,CAT City Attorney,CAT,General Administration & Finance,6,No
543,City Capital Projects,BAW,AIR Airport Commission,AIR,"Public Works, Transportation & Commerce",2,No
544,Legal Service,FC2,CAT City Attorney,CAT,General Administration & Finance,6,No
545,Work Order Services,ACP,POL Police,POL,Public Protection,1,No
546,City Distribution,BCF,DT GSA - Technology,TIS,General Administration & Finance,6,No
547,No Program Defined,XXX,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
548,Natural Resources,BC3,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
549,Water Source Of Supply,BDJ,PUB Public Utilities Bureaus,PUC,"Public Works, Transportation & Commerce",2,No
550,Laguna Honda Hospital,DEX,DPH Public Health,DPH,Community Health,4,No
551,Disaster Recovery,RCVY,FIR Fire Department,FIR,Public Protection,1,No
552,Adult Services,CAM,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
553,Substance Abuse - Community Care,DMS,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
554,Operating,OPR,HRD Human Resources,HRD,General Administration & Finance,6,No
555,Administration,FD6,ASR Assessor / Recorder,ASR,General Administration & Finance,6,No
556,Wastewater Treatment,BDC,WWE Wastewater Enterprise,CWP,"Public Works, Transportation & Commerce",2,No
557,Operating,OPR,SHF Sheriff,SHF,Public Protection,1,Yes
558,Rec & Park Administration,EIA,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
559,County Adult Assistance Program,CAI,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
560,Rail & Bus Services,BEN,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
561,No Program Defined,NKEY,WWE Wastewater Enterprise,CWP,"Public Works, Transportation & Commerce",2,No
562,Cultural Equity,EEP,ART Arts Commission,ART,Culture & Recreation,5,No
563,Administrative,ADMIN,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
564,Ag Wts & Measures Inspection,AOB,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
565,Capital,CAP,CAT City Attorney,CAT,General Administration & Finance,6,No
566,No Program,No Program Code,FIR Fire Department,FIR,Public Protection,1,No
567,Operating,OPR,DAT District Attorney,DAT,Public Protection,1,No
568,Operating,OPR,ENV Environment,ENV,Human Welfare & Neighborhood Development,3,No
569,Maintenance,BKY,AIR Airport Commission,AIR,"Public Works, Transportation & Commerce",2,No
570,Administrative Support,CAO,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
571,No Program Defined,XXX,ADM Gen Svcs Agency-City Admin,ADM,Culture & Recreation,5,No
572,Permit Center,BPC,DBI Building Inspection,DBI,"Public Works, Transportation & Commerce",2,No
573,DPW Interdepartment Work Order Program,BX1,DT GSA - Technology,TIS,General Administration & Finance,6,No
574,Library Administration,EIB,ART Arts Commission,ART,Culture & Recreation,5,No
575,Technology,TECH,HOM Homelessness Services,HOM,Human Welfare & Neighborhood Development,3,No
576,Capital Projects,ECS,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
577,Moscone Expansion Project,BGP,CAT City Attorney,CAT,General Administration & Finance,6,No
578,Disability Access,FAV,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
579,Capital,CAP,DEM Emergency Management,DEM,Public Protection,1,No
580,Supply & Treatment,BCG,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
581,No Program Defined,AXX,FIR Fire Department,FIR,Public Protection,1,No
582,Parks,EAP,AAM Asian Art Museum,AAM,Culture & Recreation,5,No
583,Departmental Fund Transfer,AZZ,FIR Fire Department,FIR,Public Protection,1,No
584,Disaster Recovery,RCVY,HSS Health Service System,HSS,General Administration & Finance,6,Yes
585,Golden Gate Park,EAA,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
586,Family And Children's Service,CAL,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,Yes
587,Disaster Recovery,RCVY,JUV Juvenile Probation,JUV,Public Protection,1,No
588,Traffic Engineering & Operation,BKG,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
589,No Program Defined,XXX,USD County Education Office,USD,Human Welfare & Neighborhood Development,3,Yes
590,Office Of Emergency Service,ASK,MYR Mayor,MYR,General Administration & Finance,6,No
591,Capital,CAP,RNT Rent Arbitration Board,RNT,Human Welfare & Neighborhood Development,3,No
592,No Program Defined,XXX,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
593,City Administrator - Administration,FAC,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
594,Capital,CAP,ART Arts Commission,ART,Culture & Recreation,5,No
595,No Program,No Program Code,ADM GSA - City Administrator,ADM,General Administration & Finance,6,No
596,Golf Course,ECG,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
597,Wastewater Capital Projects,BDP,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
598,Administration,CIA,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
599,Hall Of Justice Jails,AKM,SHF Sheriff,SHF,Public Protection,1,No
600,Fire,ASD,FIR Fire Department,FIR,Public Protection,1,No
601,Administration/Planning,FEF,CPC City Planning,CPC,General Administration & Finance,6,No
602,Technology,TECH,LIB Public Library,LIB,Culture & Recreation,5,No
603,Technology-COIT Funded,TECHC,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
604,Disaster Recovery,RCVY,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
605,Disaster Recovery,RCVY,CHF Children;Youth & Families,CHF,Human Welfare & Neighborhood Development,3,No
606,Water Transmission/ Distribution,BDK,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
607,Branch Program,EEG,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
608,Primary Care - Ambu Care - Health Cntrs,DHP,DPH Public Health,DPH,Community Health,4,No
609,Public Finance,FFG,ECN Economic & Wrkfrce Dvlpmnt,ECN,"Public Works, Transportation & Commerce",2,No
610,Wastewater Operations,BAX,WWE Wastewater Enterprise,CWP,"Public Works, Transportation & Commerce",2,No
